cons_pct,threatF4,bldg_dens,threatF1,avg_parcsz,threatF2,pop_chg,threatF3,threat,ThreatF5,F1raw,F1rcl,F2raw,F2rcl,F3raw,F3rcl,F4raw,F4rcl,F5raw,F5rcl,F6raw,F6rcl,F7raw,F7rcl,F8raw,F8rcl,F9raw,F9rcl,F10raw,F10rcl,F11raw,F11rcl,Fwght,Fwghtrcl,threatrcl,OBJECTID,ACRES,Shapearea,Shapelen
0,1,4.1875,10,38.64619827,9,12.14579963,4,6.8,10,177.59700012,2,0.19007409,3,2,2,0,0,31.378648,1,0,10,0.29510513,6,71.84216475,10,0,0,4.70128604,6,0,0,3.05,3,7,20,31.37864647,126985.38496687,1832.99946832607
0,1,2.22034001,10,47.97880172,10,7.14589977,6,7.4,10,48.23080062,6,0.72360721,5,0,0,0,0,121.48861863,2,0,10,0,0,34.30963366,10,0,0,0,0,0,0,3.2,4,8,21,121.48861378,491648.94352772,4081.07104989967
0,1,5.44443988,9,12.54950046,3,23.61030006,2,3.2,1,278.41500854,1,0.55278809,5,1,1,0,0,92.80927756,1,2.78523879,1,0.09858928,4,83.267322,10,3,9,1.2267739,3,0,0,2.3,2,3,22,92.80927654,375587.319208655,3573.48132156574
62.54443166,9,4.09881019,10,12.54950046,3,23.61030006,2,6.8,10,212.52699279,2,2.96063286,7,6,4,56.34650773,7,497.06966989,3,0,10,0,0,93.06339292,10,3,9,1.95732722,3,0,0,5,6,7,23,497.06966062,2011577.59479984,6549.84107733555
7.10013189,4,4,10,24.50589942,6,5.81794977,7,5.6,1,23.79800033,8,0.13265475,2,0,0,0,0,21.89949625,1,3.10071059,1,0,0,21.19455144,9,0,0,78.37111775,10,0,0,2.6,3,6,24,21.89948854,88624.44037467,1861.70675429074
0,1,25.36840057,2,24.50589942,6,5.81794977,7,5.2,10,107.27799987,3,0.20434935,3,0,0,0,0,34.30883577,1,0,10,0,0,71.28542676,10,0,0,7.04005235,7,0,0,2.75,3,5,25,34.30882893,138843.46007692,2622.67750410085
4.71816325,4,2.69426989,10,35.60260009,9,10.61240005,4,7.4,10,87.7303009,4,3.62571684,7,4,3,37.30662415,5,608.73264503,4,0,10,0.00678458,2,59.31735433,10,2.65342998,8,1.50986481,3,0,0,5.1,6,8,26,608.73264892,2463463.48365834,13832.9271782259
0.17392202,2,6.39215993,8,24.50589942,6,5.81794977,7,6,7,43.0149002,6,1.1373397,5,0,0,44.02984456,6,817.83413849,4,0.14672901,7,0.00715303,2,1.104735,4,0,0,2.24867111,4,0,0,4.1,5,6,27,817.83412389,3309670.51540838,16877.4404266285
0,1,6.80769014,8,18.61249923,5,9.22387981,5,4,1,131.11199951,3,0.10185289,1,0,0,0,0,48.63459463,1,1.56596349,1,0,0,0,0,0,0,0,0,0,0,0.8,1,4,28,48.63459638,196818.01601668,2091.80871777929
0,1,12.15380001,5,22.77070045,6,2.87052011,9,6.2,10,50.74620056,6,0.05875088,1,0,0,0,0,28.46623002,1,0,10,0,0,1.85482938,4,0,0,1.85482938,3,0,0,2.5,3,6,29,28.46622654,115199.19251955,1901.17849325018
1.67991282,3,12.52499961,5,22.77070045,6,2.87052011,9,6.6,10,63.82720184,5,0.17486148,3,0,0,0,0,84.72463444,1,0,10,0,0,36.40405202,10,0,0,35.2985412,10,0,0,3.2,4,7,30,84.72462675,342869.7714158,6248.69876312807
0,1,2.08397006,10,47.97880172,10,7.14589977,6,5.8,2,20.3402996,8,1.52245102,6,0,0,0,0,255.60893963,3,1.00503527,2,0,0,9.31469769,8,0,0,12.99910717,9,0,0,3.3,4,6,31,255.60893229,1034416.78693392,8562.1300929264
